Origin	Trademark	logo	International Classes	Status	Application No	Application Date	Registration No	Registration Date	Next Renewal Due	他项权利	Registered Owner	certificate
												
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	BE MISS		3, 18, 25	Registered	006329841	31-Oct-2007	006329841	09-Oct-2008	31-Oct-2017	无	MISS SIXTY INVESTMENTS SA	
CTM	Do you MISS shopping? misssixty.com		3, 9, 14, 18, 25	Registered	7337009	23-Oct-2008	7337009	20-May-2009	23-Oct-2018	无	MISS SIXTY INVESTMENTS SA	
CTM	Do you MISS shopping? misssixty.com		3, 9, 14, 18, 25	Registered	7337009	23-Oct-2008	7337009	20-May-2009	23-Oct-2018	无	MISS SIXTY INVESTMENTS SA	
CTM	Do you MISS shopping? misssixty.com		3, 9, 14, 18, 25	Registered	7337009	23-Oct-2008	7337009	20-May-2009	23-Oct-2018	无	MISS SIXTY INVESTMENTS SA	
